WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
/home/scis_user/.conda/envs/ExAi/lib/python3.10/site-packages/huggingface_hub/file_download.py:1142: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]/home/scis_user/.conda/envs/ExAi/lib/python3.10/site-packages/transformers/modeling_utils.py:881: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
  warnings.warn(

Text+: 3.71 | Text-: 3.71 | Image+: 32.43 | Image-: 32.43:   2%|▏         | 69/3303 [01:34<1:10:40,  1.31s/it]
Text+: 3.71 | Text-: 3.71 | Image+: 32.43 | Image-: 32.43:   2%|▏         | 70/3303 [01:35<1:12:43,  1.35s/it]
Text+: 3.66 | Text-: 3.66 | Image+: 33.38 | Image-: 33.38:   2%|▏         | 70/3303 [01:36<1:12:43,  1.35s/it]
Text+: 3.66 | Text-: 3.66 | Image+: 33.38 | Image-: 33.38:   2%|▏         | 71/3303 [01:36<1:20:59,  1.50s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 32.92 | Image-: 32.92:   2%|▏         | 71/3303 [01:38<1:20:59,  1.50s/it]  
Text+: 5.0 | Text-: 5.0 | Image+: 32.92 | Image-: 32.92:   2%|▏         | 72/3303 [01:38<1:20:10,  1.49s/it]
Text+: 4.93 | Text-: 4.93 | Image+: 32.47 | Image-: 32.47:   2%|▏         | 72/3303 [01:39<1:20:10,  1.49s/it]
Text+: 4.93 | Text-: 4.93 | Image+: 32.47 | Image-: 32.47:   2%|▏         | 73/3303 [01:39<1:18:38,  1.46s/it]
Text+: 4.86 | Text-: 4.86 | Image+: 32.03 | Image-: 32.03:   2%|▏         | 73/3303 [01:41<1:18:38,  1.46s/it]
Text+: 4.86 | Text-: 4.86 | Image+: 32.03 | Image-: 32.03:   2%|▏         | 74/3303 [01:41<1:20:20,  1.49s/it]
Text+: 4.8 | Text-: 4.8 | Image+: 31.6 | Image-: 31.6:   2%|▏         | 74/3303 [01:42<1:20:20,  1.49s/it]    
Text+: 4.8 | Text-: 4.8 | Image+: 31.6 | Image-: 31.6:   2%|▏         | 75/3303 [01:42<1:17:00,  1.43s/it]
Text+: 4.74 | Text-: 4.74 | Image+: 32.5 | Image-: 32.5:   2%|▏         | 75/3303 [01:43<1:17:00,  1.43s/it]
Text+: 4.74 | Text-: 4.74 | Image+: 32.5 | Image-: 32.5:   2%|▏         | 76/3303 [01:43<1:14:39,  1.39s/it]
Text+: 5.97 | Text-: 5.97 | Image+: 32.08 | Image-: 32.08:   2%|▏         | 76/3303 [01:45<1:14:39,  1.39s/it]
Text+: 5.97 | Text-: 5.97 | Image+: 32.08 | Image-: 32.08:   2%|▏         | 77/3303 [01:45<1:13:00,  1.36s/it]
Text+: 5.9 | Text-: 5.9 | Image+: 31.67 | Image-: 31.67:   2%|▏         | 77/3303 [01:46<1:13:00,  1.36s/it]  
Text+: 5.9 | Text-: 5.9 | Image+: 31.67 | Image-: 31.67:   2%|▏         | 78/3303 [01:46<1:11:51,  1.34s/it]
Text+: 5.82 | Text-: 5.82 | Image+: 31.27 | Image-: 31.27:   2%|▏         | 78/3303 [01:47<1:11:51,  1.34s/it]
Text+: 5.82 | Text-: 5.82 | Image+: 31.27 | Image-: 31.27:   2%|▏         | 79/3303 [01:47<1:11:02,  1.32s/it]
Text+: 5.75 | Text-: 5.75 | Image+: 30.87 | Image-: 30.87:   2%|▏         | 79/3303 [01:48<1:11:02,  1.32s/it]
Text+: 5.75 | Text-: 5.75 | Image+: 30.87 | Image-: 30.87:   2%|▏         | 80/3303 [01:49<1:10:25,  1.31s/it]
Text+: 5.68 | Text-: 5.68 | Image+: 31.73 | Image-: 31.73:   2%|▏         | 80/3303 [01:50<1:10:25,  1.31s/it]
Text+: 5.68 | Text-: 5.68 | Image+: 31.73 | Image-: 31.73:   2%|▏         | 81/3303 [01:50<1:10:01,  1.30s/it]
Text+: 5.61 | Text-: 5.61 | Image+: 31.34 | Image-: 31.34:   2%|▏         | 81/3303 [01:51<1:10:01,  1.30s/it]
